Mark-to-Market Performance Summary,Data,Options On Futures,NQ 19SEP25 22100 P,-500,0,384.25,239.5,1447500,-992320,-610,0,454570,,,,
Mark-to-Market Performance Summary,Data,Options On Futures,NQ 19SEP25 22900 P,500,0,630.5,414.25,-2162500,1500185,-610,0,-662925,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,-715000,507865,-1220,0,-208355,,,,
Mark-to-Market Performance Summary,Data,Forex,AUD,-15263.90271,-15263.90271,0.64738,0.64673,9.92153676,0,0,0,9.92153676,,,,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.000004515,0.000004515,0.7253,0.72575,0,0,0,0,0,,,,
Mark-to-Market Performance Summary,Data,Forex,CHF,-0.000029287,-0.000029287,1.2437,1.2373,0.00000019,0,0,0,0.00000019,,,,
Mark-to-Market Performance Summary,Data,Forex,EUR,-608898.158,-608898.158,1.1588,1.1572,10.44025281,0,0,0,10.44025281,,,,
Mark-to-Market Performance Summary,Data,Forex,HKD,-204698000.5,-226361251.7,0.1274,0.12739,-211.8040355,0,0,0,-211.8040355,,,,
Mark-to-Market Performance Summary,Data,Forex,JPY,-0.0002138,-0.0002138,0.0067843,0.0067987,0,0,0,0,0,,,,
Mark-to-Market Performance Summary,Data,Forex,MXN,-0.00382842,-0.00382842,0.053024,0.052915,0.00000042,0,0,0,0.00000042,,,,
Mark-to-Market Performance Summary,Data,Forex,SEK,0.000335185,0.000335185,0.10362,0.10352,-0.00000003,0,0,0,-0.00000003,,,,
Mark-to-Market Performance Summary,Data,Forex,SGD,-10819614.88,-11592825.23,0.77598,0.77636,114.067305,0,0,0,114.067305,,,,
Mark-to-Market Performance Summary,Data,Forex,USD,-19962013.36,-46411278,1,1,0,0,0,0,0,,,,
Mark-to-Market Performance Summary,Data,Total,,,,,,-77.37494034,0,0,0,-77.37494034,,,,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,1857792.362,675944.3146,-7565.753476,0,2526170.923,,,,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,1109,0,0,0,0,0,0,0,-15450.70698,0,0,-15450.70698,-15450.70698,
Realized & Unrealized Performance Summary,Data,Stocks,1288,0,0,0,0,0,0,140368.0687,-279373.5433,0,0,-139005.4746,-139005.4746,
Realized & Unrealized Performance Summary,Data,Stocks,1398,0,0,0,0,0,0,75.82673187,-66525.67653,0,0,-66449.8498,-66449.8498,
Realized & Unrealized Performance Summary,Data,Stocks,1810,0,0,0,0,0,0,15187.58611,-22210.28858,0,0,-7022.702477,-7022.702477,
Realized & Unrealized Performance Summary,Data,Stocks,2359,0,0,0,0,0,0,350104.0086,-52826.67548,0,0,297277.3331,297277.3331,
