BOF,U8251256,Portfolio Dashboard,6,9/10/2025,9/10/2025,2025-10-10;01:27:00,100,100,,,,
-471.1926492,-471.1926492,0,-86626675.51,,,0,JPY,CASH,,,0.0065324,
-28209.86782,-28209.86782,0,-20912404.17,,,0,SGD,CASH,,,0.7694,
0,0,0,-26887960.85,,,0,USD,CASH,,,1,
-201519.8959,0,0,,,,,,,,,,
EOS,MTMP,153,-403039.7918,,,,,,,,,
BOS,CRTT,Cash Report; trade date basis,,,,,,,,,,
CurrencyPrimary,EndingCash,EndingCashSecurities,EndingCashCommodities,NetCashBalanceSLB,NetCashBalanceSLBSecurities,NetCashBalanceSLBCommodities,,,,,,
BASE_SUMMARY,-39600435.65,-40920969.84,1320534.196,-39600435.65,-40920969.84,1320534.196,,,,,,
AUD,0,0,0,0,0,0,,,,,,
EUR,0,0,0,0,0,0,,,,,,
HKD,30685620.3,30546444.47,139175.83,30685620.3,30546444.47,139175.83,,,,,,
JPY,-86626675.51,-86626675.51,0,-86626675.51,-86626675.51,0,,,,,,
SGD,-20912404.17,-20912404.17,0,-20912404.17,-20912404.17,0,,,,,,
USD,-26887960.85,-28190609.56,1302648.71,-26887960.85,-28190609.56,1302648.71,,,,,,
EOS,CRTT,7,-143341855.9,,,,,,,,,
BOS,TRNT,Trades; trade date basis,,,,,,,,,,
Symbol,Strike,Expiry,Put/Call,TradeDate,Quantity,TradePrice,IBCommission,FifoPnlRealized,CapitalGainsPnl,FxPnl,Buy/Sell,AssetClass
1698,,,,9/10/2025,24600,91.71138211,-1350.27585,0,0,0,BUY,STK
A17U,,,,9/10/2025,543200,2.849132916,-1597.173167,0,0,0,BUY,STK
ME8U,,,,9/10/2025,811500,2.131894023,-1782.254952,0,0,0,BUY,STK
ARKK,,,,9/10/2025,159,92.15,-0.29015525,0,0,0,BUY,STK
CEG,,,,9/10/2025,2900,384.8207414,-4.898063,0,0,0,BUY,STK
NDAQ,,,,9/10/2025,300,91.11,-0.277041,0,0,0,BUY,STK
NDAQ,,,,9/10/2025,1700,91.17470588,-1.009899,0,0,0,BUY,STK
SHYG,,,,9/10/2025,15000,42.8491304,-29.30725,0,0,0,BUY,STK
SPMO,,,,9/10/2025,3500,121.8218286,-3.777945,0,0,0,BUY,STK
SPMO,,,,9/10/2025,37700,121.8214988,-75.417819,0,0,0,BUY,STK
TQQQ,,,,9/10/2025,11200,109.13,-18.182864,0,0,0,BUY,STK
TQQQ,,,,9/10/2025,14099,108.1923633,-14.24030353,0,0,0,BUY,STK
URA,,,,9/10/2025,2800,51.19176971,-2.207916,0,0,0,BUY,STK
UTES,,,,9/10/2025,3700,86.69005405,-7.426839,0,0,0,BUY,STK
EOS,TRNT,25,0,,,,,,,,,
BOS,RATE,Conversion Rates,,,,,,,,,,
Date/Time,FromCurrency,ToCurrency,Rate,,,,,,,,,
9/10/2025,CHF,USD,1.2402,,,,,,,,,
9/10/2025,MXN,USD,0.054368,,,,,,,,,
9/10/2025,QAR,USD,0.27436,,,,,,,,,
9/10/2025,SAR,USD,0.26661,,,,,,,,,
9/10/2025,ZAR,USD,0.058081,,,,,,,,,
9/10/2025,INR,USD,0.011253,,,,,,,,,
9/10/2025,THB,USD,0.03052,,,,,,,,,
9/10/2025,CNY,USD,0.14028,,,,,,,,,
9/10/2025,AUD,USD,0.65553,,,,,,,,,
9/10/2025,KRW,USD,0.00070277,,,,,,,,,
9/10/2025,ILS,USD,0.30707,,,,,,,,,
9/10/2025,JPY,USD,0.0065324,,,,,,,,,
9/10/2025,PLN,USD,0.27162,,,,,,,,,
9/10/2025,GBP,USD,1.3304,,,,,,,,,
9/10/2025,IDR,USD,0.000060441,,,,,,,,,
9/10/2025,HUF,USD,0.0029558,,,,,,,,,
9/10/2025,KWD,USD,3.2733,,,,,,,,,
9/10/2025,PHP,USD,0.017114,,,,,,,,,
9/10/2025,TRY,USD,0.02394,,,,,,,,,
9/10/2025,RUB,USD,0.012319,,,,,,,,,
9/10/2025,AED,USD,0.27229,,,,,,,,,
9/10/2025,HKD,USD,0.12851,,,,,,,,,
9/10/2025,TWD,USD,0.032685,,,,,,,,,
9/10/2025,EUR,USD,1.1565,,,,,,,,,
9/10/2025,DKK,USD,0.15488,,,,,,,,,
9/10/2025,CAD,USD,0.71317,,,,,,,,,
9/10/2025,MYR,USD,0.23719,,,,,,,,,
9/10/2025,BGN,USD,0.59128,,,,,,,,,
9/10/2025,NOK,USD,0.099356,,,,,,,,,
9/10/2025,RON,USD,0.22694,,,,,,,,,
9/10/2025,RUS,USD,0.012319,,,,,,,,,
9/10/2025,SGD,USD,0.7694,,,,,,,,,
9/10/2025,OMR,USD,2.5973,,,,,,,,,
9/10/2025,CZK,USD,0.047451,,,,,,,,,
9/10/2025,SEK,USD,0.10485,,,,,,,,,
9/10/2025,NZD,USD,0.57451,,,,,,,,,
9/10/2025,CNH,USD,0.1401,,,,,,,,,
9/10/2025,BRL,USD,0.18624,,,,,,,,,
9/10/2025,BHD,USD,2.6523,,,,,,,,,
EOS,RATE,39,0,,,,,,,,,
EOA,U18135473,,,,,,,,,,,
EOF,,,,,,,,,,,,
