Date,Equity MarketValue,Equity Count,Bond MarketValue,Bond Count,Commodity MarketValue,Commodity Count,FX MarketValue,FX Count,Derivatives MarketValue,Derivatives Count
2022-05-12,30907863.16,18,2420936.88,1,2938771.73,2,0.00,0,3336.69,12
2022-05-13,34711668.39,18,0.00,1,3169306.65,2,0.00,0,3608.67,12
2022-05-16,34626167.17,18,0.00,0,3235228.04,2,0.00,0,13329.42,16
2022-05-17,37275990.38,18,0.00,0,3332786.86,2,0.00,0,13334.05,16
2022-05-18,35774441.76,18,0.00,0,3396461.73,2,0.00,0,14019.74,11
2022-05-19,32056745.45,18,0.00,0,2945293.35,2,0.00,0,12337.92,13
2022-05-20,32286152.54,18,0.00,0,2987273.96,2,0.00,0,12683.91,11
2022-05-23,34117078.11,22,0.00,0,3925934.98,2,0.00,0,3097.29,16
2022-05-24,33627773.46,17,0.00,0,3995560.27,2,0.00,0,3227.81,12
2022-05-25,35563517.15,17,0.00,0,4049378.85,2,0.00,0,8153.55,13
2022-05-26,37904032.43,17,0.00,0,4335336.24,2,0.00,0,10219.90,13
2022-05-27,39211176.55,17,0.00,0,4394507.13,2,0.00,0,10878.68,13
2022-05-30,39211176.55,17,0.00,0,4394507.13,2,0.00,0,10905.01,13
2022-05-31,35878306.88,18,0.00,0,7827592.46,3,0.00,0,11470.33,15
2022-06-01,36939164.76,16,3144772.80,1,8276648.10,3,0.00,0,12028.62,13
2022-06-02,39531218.11,16,3294834.88,1,8554827.80,3,0.00,0,7747.41,13
2022-06-03,38648769.54,16,3301240.08,1,8672057.61,3,0.00,0,7992.87,12
2022-06-06,38865111.76,18,3294194.36,1,8664204.18,3,0.00,0,22199.51,14
2022-06-07,41974008.00,16,3512448.10,1,9346013.21,3,0.00,0,23202.93,9
2022-06-08,43168550.35,16,3681643.68,1,9426827.68,3,0.00,0,24611.47,9
2022-06-09,43569047.70,16,3816088.47,1,9731755.50,3,0.00,0,23197.01,9
2022-06-10,39159949.98,16,3379588.11,1,8686504.31,3,0.00,0,21542.78,9
2022-06-13,32898501.87,17,5667618.06,1,7138613.72,3,0.00,0,16117.79,15
2022-06-14,26656452.07,16,4508297.72,1,5887195.10,3,0.00,0,12795.40,11
2022-06-15,27191949.22,17,4535010.92,1,5808997.66,3,0.00,0,13013.44,11
2022-06-16,27150202.90,16,4667681.05,1,5837259.70,3,0.00,0,12936.96,11
2022-06-17,27396489.60,16,4663553.20,1,5693067.60,3,0.00,0,12791.83,11
2022-06-21,31741621.17,17,5322369.57,1,3266833.73,3,0.00,0,8207.82,17
2022-06-22,31554068.81,16,5327085.66,1,3128713.96,3,0.00,0,8037.62,11
2022-06-23,33397624.97,16,5650739.85,1,3296588.98,3,0.00,0,9542.30,11
2022-06-24,36074849.06,16,5981712.81,1,3609738.88,3,0.00,0,11264.73,11
2022-06-27,40048795.95,18,5962365.90,1,3675425.50,3,0.00,0,23343.98,13
2022-06-28,38952382.27,16,5953571.85,1,3737896.20,3,0.00,0,22102.36,10
2022-06-29,38770424.46,16,5947709.15,1,3437982.38,3,0.00,0,22040.13,10
2022-06-30,35832467.07,16,5398916.04,1,3245257.32,3,0.00,0,19250.89,10
2022-07-01,37149869.54,16,2811207.00,1,3315730.23,3,0.00,0,24285.60,11
2022-07-04,37149869.54,16,2811207.00,1,3315730.23,3,0.00,0,24356.20,11
2022-07-05,35081232.70,17,2921334.00,1,3398533.18,3,0.00,0,14087.00,14
2022-07-06,38510255.26,16,0.00,1,3823626.52,3,0.00,0,18817.52,13
2022-07-07,41607818.89,16,0.00,0,4244675.17,3,0.00,0,17427.90,13
2022-07-11,42816629.91,17,0.00,0,4339731.46,3,0.00,0,26246.47,17
2022-07-12,42397940.75,16,0.00,0,4279191.62,3,0.00,0,25170.16,14
2022-07-13,42002288.73,16,0.00,0,4222273.24,3,0.00,0,23572.61,12
2022-07-14,42095969.46,16,0.00,0,4141545.73,3,0.00,0,22941.34,12
2022-07-15,50295047.58,16,0.00,0,4532968.18,3,0.00,0,25417.50,12
2022-07-18,55250094.30,17,3841763.82,1,4602210.95,3,0.00,0,4201.30,22
2022-07-19,58807879.23,17,6021847.62,1,4457740.91,3,0.00,0,13838.92,15
2022-07-20,56963688.26,17,6040384.53,1,4343199.89,3,0.00,0,13915.93,15
2022-07-21,56518966.72,17,4962323.10,1,4317005.36,3,0.00,0,8795.58,15
2022-07-22,58698981.61,17,15361367.79,2,4419417.25,3,0.00,0,20298.24,15
2022-07-25,58417729.74,19,15267027.99,2,4518955.75,3,0.00,0,-37419.78,17
2022-07-26,57427545.81,17,15280075.27,2,4294691.48,3,0.00,0,-36493.87,16
2022-07-27,59176168.11,17,15107495.48,2,4375238.94,3,0.00,0,-32493.28,16
2022-07-28,54124077.09,17,12898807.32,2,4003683.36,3,0.00,0,-27072.83,17
2022-07-29,54962849.74,17,12906474.36,2,4200626.06,3,0.00,0,-28991.79,17
2022-08-01,54970646.66,19,12921314.78,2,4097526.07,3,0.00,0,47601.48,24
2022-08-02,54814014.59,17,12809990.37,2,4078903.72,3,0.00,0,40681.68,14
2022-08-03,55902846.31,17,12934308.12,2,4016183.14,3,0.00,0,40677.85,13
2022-08-04,63249955.99,18,13456938.12,2,4115277.80,3,0.00,0,35764.56,13
2022-08-05,64925579.95,18,13758911.80,2,4437235.34,3,0.00,0,36464.11,12
2022-08-08,62678349.32,21,12272799.69,2,4765158.04,3,0.00,0,26889.35,14
2022-08-09,62282693.09,19,12210372.18,2,4828926.00,2,0.00,0,26569.95,10
2022-08-10,69229784.13,19,13441031.18,2,5188559.25,2,0.00,0,37266.21,11
2022-08-11,65292356.98,19,18910977.19,3,5014412.88,2,0.00,0,34222.73,11
2022-08-12,62675127.82,19,13727335.40,3,4897744.67,2,0.00,0,28573.18,11
2022-08-15,63458116.94,22,12415099.50,4,5328012.28,2,0.00,0,35085.99,15
2022-08-16,66744581.84,19,13159872.78,4,5620386.76,2,0.00,0,39071.44,10
2022-08-17,63552132.67,19,12484119.19,4,5414319.70,2,0.00,0,38190.08,10
2022-08-18,65548250.29,19,13004892.85,4,5563038.52,2,0.00,0,38778.86,10
2022-08-19,64606540.05,19,12865189.48,4,5549826.88,2,0.00,0,37733.83,10
2022-08-22,60946452.99,19,5225612.96,4,5531959.62,2,0.00,0,19363.09,14
2022-08-23,60825643.29,19,5237076.51,4,5525230.92,2,0.00,0,19064.14,9
2022-08-24,60855819.66,19,5179956.63,4,5410615.38,2,0.00,0,19302.31,8
2022-08-25,64462350.11,19,5474044.66,4,5719690.80,2,0.00,0,20133.08,8
2022-08-26,62234293.85,19,5433448.48,4,5652343.74,2,0.00,0,20753.06,8
2022-08-29,47759923.03,23,5190870.33,5,5100479.69,2,0.00,0,16509.60,11
2022-08-30,49229582.66,19,5468299.27,4,5171454.30,2,0.00,0,18848.23,10
2022-08-31,48879314.27,20,5436674.71,4,5126545.62,2,0.00,0,18217.06,10
2022-09-01,47567450.33,19,4250736.72,4,4966623.24,2,0.00,0,16082.71,10
2022-09-02,47356524.00,18,3014716.24,3,5266722.14,2,0.00,0,18776.29,10
2022-09-05,47356524.00,18,3014716.24,2,5266722.14,2,0.00,0,18774.70,10
2022-09-06,50646041.54,19,3133381.08,2,5454723.47,2,0.00,0,20266.64,15
2022-09-07,51708845.93,19,3143899.83,2,5426068.77,2,0.00,0,18786.84,13
2022-09-08,51958217.48,18,4821102.33,4,5641353.76,2,0.00,0,20160.04,12
2022-09-09,57400442.77,18,5262572.47,3,6159166.04,2,0.00,0,21094.45,12
2022-09-12,53507055.72,20,5263411.07,3,10738615.96,3,0.00,0,-4716.45,18
2022-09-13,45772838.21,17,4676215.51,3,9274552.94,3,0.00,0,-3551.96,12
2022-09-14,33825398.24,17,3359900.39,4,6873054.19,3,0.00,0,-2867.81,12
2022-09-15,34822273.16,19,3522025.48,3,6779163.79,3,0.00,0,-2458.54,12
2022-09-16,34634684.52,17,3488730.92,3,6673400.46,3,0.00,0,-2981.60,12
2022-09-19,18089538.94,18,1783116.66,3,3617877.18,3,0.00,0,19260.45,18
2022-09-20,20087360.43,17,2003623.79,3,2007463.67,3,0.00,0,18471.10,12
2022-09-21,19768966.22,17,1334984.84,3,1991659.28,3,0.00,0,16241.03,12
2022-09-22,20593713.86,17,688882.74,2,2074367.15,3,0.00,0,15384.14,13
2022-09-23,20233206.41,17,0.00,1,1966253.20,3,0.00,0,13844.34,13
2022-09-26,20123318.32,18,0.00,0,1993356.49,3,0.00,0,-17731.58,16
2022-09-27,21244994.57,17,0.00,0,2152087.87,3,0.00,0,-20337.94,16
2022-09-28,20901881.08,17,0.00,0,2226544.80,3,0.00,0,-18749.24,15
2022-09-29,20302106.03,16,0.00,0,2153844.52,3,0.00,0,-21659.56,16
2022-09-30,18197131.14,17,0.00,0,1907042.91,3,0.00,0,-18808.25,16
2022-10-03,18621206.79,18,0.00,0,1992882.81,3,0.00,0,-791.97,20
2022-10-04,19172978.85,16,0.00,0,2034566.66,3,0.00,0,1280.27,17
2022-10-05,19114954.34,16,0.00,0,2008921.16,3,0.00,0,1040.60,17
2022-10-06,17307889.64,16,0.00,0,4259259.00,3,0.00,0,1281.67,17
2022-10-07,16761871.66,16,0.00,0,4176839.06,3,0.00,0,-1548.42,16
2022-10-10,15367081.61,19,0.00,0,3144021.00,3,0.00,0,16868.35,18
2022-10-11,14292071.11,16,0.00,0,2962723.44,3,0.00,0,15025.04,16
2022-10-12,14260756.37,16,0.00,0,2978801.00,3,0.00,0,15289.48,15
2022-10-13,14579192.65,16,0.00,0,3073909.34,3,0.00,0,16350.95,15
2022-10-14,14640458.30,16,0.00,0,3007288.56,3,0.00,0,15894.63,15
2022-10-17,15105387.30,19,0.00,0,3106871.60,3,0.00,0,14507.42,22
2022-10-18,15268775.96,16,0.00,0,3164719.73,3,0.00,0,16320.88,16
2022-10-19,15200420.98,16,0.00,0,3225502.23,3,0.00,0,16893.74,16
2022-10-20,15811498.56,17,0.00,0,3267543.84,3,0.00,0,16353.39,16
2022-10-21,16174393.64,16,0.00,0,3352479.18,3,0.00,0,18717.85,16
2022-10-24,16385970.35,17,0.00,0,3357526.58,3,0.00,0,21117.45,19
