DATE,NAV (USD),CASH INJECTION,DAILY P&L,Daily Return,Weekly P&L,Weekly Return,MTD Change,MTD %,Cal,LTD ROR%,YTD Change,YTD ROR%,Annualised Return,Annualised Volatility,30 Days P&L,30 Days Return,90 Days P&L,90 Days Return,252 Days P&L,252 Days Return,Sharpe Ratio,Sortino Ratio,Value at Risk 95%(30days),Value at Risk 95%(90days),Value at Risk 95%(252days),Value at Risk 99%(252days),CAGR,Excess Return,Negative Excess Returns,Square of (Negative Excess Returns),Trailing 252D Sharpe,Trailing 252D Sortino,Trailing 252D Annualised Return,Trailing 252D Annualised Volatility
2022-11-03,31346885.84,0.0,-388514.4,-1.22,-2001867.76,-6.0,-1570108.99,-4.77,0.73,-27.32,-33241850.49,-51.47,-7.77,32.96,-1552834.31,-4.72,-4658374.78,-12.94,-37501581.96,-54.47,-0.37,-0.49,-0.03,-0.03,-0.04,-0.06,-12.41,-1.24,-1.24,0.0,-2.06,-2.57,-71.72,0.37
2022-11-04,31668901.24,0.0,322015.4,1.03,-1679852.36,-5.04,-1248093.59,-3.79,0.73,-26.57,-32919835.09,-50.97,-7.33,32.94,-698901.88,-2.16,-4774784.42,-13.1,-37503889.37,-54.22,-0.36,-0.47,-0.03,-0.03,-0.04,-0.06,-12.02,1.01,0.0,0.0,-2.05,-2.55,-71.17,0.37
2022-11-07,31875600.62,0.0,206699.38,0.65,206699.38,0.65,-1041394.21,-3.16,0.74,-26.09,-32713135.71,-50.65,-7.05,32.92,-365470.56,-1.13,-4587698.05,-12.58,-38831627.72,-54.92,-0.35,-0.46,-0.03,-0.03,-0.04,-0.06,-11.76,0.63,0.0,0.0,-2.1,-2.6,-72.73,0.37
2022-11-08,32008445.5,0.0,132844.88,0.42,339544.26,1.07,-908549.33,-2.76,0.74,-25.79,-32580290.83,-50.44,-6.87,32.89,-232810.19,-0.72,-4426723.43,-12.15,-38832864.14,-54.82,-0.35,-0.45,-0.03,-0.03,-0.04,-0.06,-11.59,0.4,0.0,0.0,-2.09,-2.6,-72.51,0.37
2022-11-09,31287161.68,0.0,-721283.82,-2.25,-381739.56,-1.21,-1629833.15,-4.95,0.73,-27.46,-33301574.65,-51.56,-7.79,32.9,-1545769.65,-4.71,-5209736.15,-14.27,-36369072.01,-53.76,-0.37,-0.49,-0.03,-0.03,-0.04,-0.06,-12.4,-2.27,-2.27,0.0,-2.04,-2.54,-70.26,0.37
2022-11-10,33095509.71,0.0,1808348.03,5.78,1426608.47,4.5,178514.88,0.54,0.77,-23.27,-31493226.62,-48.76,-5.39,33.08,1195521.23,3.75,-4285354.64,-11.46,-32608114.83,-49.63,-0.3,-0.39,-0.03,-0.03,-0.04,-0.06,-10.33,5.76,0.0,0.0,-1.78,-2.26,-61.59,0.37
2022-11-11,33532721.39,0.0,437211.68,1.32,1863820.15,5.89,615726.56,1.87,0.78,-22.25,-31056014.94,-48.08,-4.84,33.06,2095899.69,6.67,-3902465.46,-10.42,-32877420.44,-49.51,-0.28,-0.37,-0.03,-0.03,-0.04,-0.06,-9.83,1.3,0.0,0.0,-1.78,-2.25,-61.35,0.37
2022-11-14,33188590.56,0.0,-344130.83,-1.03,-344130.83,-1.03,271595.73,0.83,0.77,-23.05,-31400145.77,-48.62,-5.26,33.04,1088061.52,3.39,-3541869.1,-9.64,-33257737.28,-50.05,-0.3,-0.39,-0.03,-0.03,-0.04,-0.06,-10.2,-1.04,-1.04,0.0,-1.8,-2.29,-62.43,0.37
2022-11-15,33662278.58,0.0,473688.02,1.43,129557.19,0.39,745283.75,2.26,0.78,-21.95,-30926457.75,-47.88,-4.66,33.03,748303.84,2.27,-2403823.9,-6.67,-31807340.09,-48.58,-0.28,-0.36,-0.03,-0.03,-0.04,-0.06,-9.66,1.41,0.0,0.0,-1.73,-2.19,-59.53,0.37
2022-11-16,33223803.28,0.0,-438475.3,-1.3,-308918.11,-0.92,306808.45,0.93,0.77,-22.97,-31364933.05,-48.56,-5.19,33.01,348874.14,1.06,-2810013.71,-7.8,-34172655.2,-50.71,-0.29,-0.38,-0.03,-0.03,-0.04,-0.06,-10.13,-1.32,-1.32,0.0,-1.85,-2.33,-63.78,0.37
